PLAYER,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,GP,Date
Giannis Antetokounmpo,0.9055555555555554,25.28888888888889,11.399999999999999,5.805555555555555,1.2944444444444443,1.5944444444444446,2.816666666666667,9.416666666666666,18.400000000000002,5.455555555555555,7.972222222222222,1.0,2022-01-13
Goga Bitadze,0.36874999999999997,3.6125000000000003,2.1,0.775,-0.175,1.00625,0.23124999999999996,1.2375000000000003,2.29375,0.6,0.9,1.0,2022-01-13
Goran Dragic,1.7025641025641027,11.948717948717949,3.0,4.1692307692307695,0.5743589743589743,0.08717948717948719,2.4564102564102566,4.17948717948718,9.620512820512822,1.7743589743589745,2.2256410256410257,1.0,2022-01-13
Gordon Hayward,1.8000000000000003,19.56666666666666,6.562962962962963,4.051851851851852,0.9000000000000001,0.5,2.4555555555555553,6.955555555555555,15.718518518518518,3.7555555555555546,4.507407407407407,1.0,2022-01-13
Gorgui Dieng,0.6,5.544,9.032,0.9,0.3,0.3,0.6,1.848,3.3479999999999994,1.464,1.9960000000000002,1.0,2022-01-13
Grant Riller,0.6,4.9,0.20000000000000004,0.8000000000000002,0.20000000000000004,0.0,0.20000000000000004,2.1,3.2000000000000006,0.0,0.0,1.0,2022-01-13
Grant Williams,1.9217391304347828,9.447826086956523,5.28695652173913,1.5217391304347827,0.2391304347826087,0.8608695652173913,1.3217391304347825,3.4434782608695653,6.565217391304348,0.7391304347826086,1.0999999999999999,1.0,2022-01-13
Grayson Allen,2.0624999999999996,6.162499999999996,2.8750000000000004,1.5124999999999995,0.3749999999999999,0.18749999999999994,0.6,1.7625000000000002,3.9499999999999975,0.5750000000000002,0.8875,1.0,2022-01-13
Greg Brown,0.0,3.7241379310344827,3.5758620689655167,1.3620689655172413,0.40344827586206894,0.603448275862069,0.603448275862069,1.9137931034482758,3.6724137931034484,-0.15517241379310345,0.8517241379310346,1.0,2022-01-13
Greg Monroe,0.0,5.05,2.900000000000001,3.483333333333333,0.04999999999999997,0.08333333333333333,0.8333333333333334,2.4166666666666665,4.400000000000001,0.4000000000000001,0.2666666666666666,1.0,2022-01-13
Hamidou Diallo,0.5891891891891892,12.58108108108108,3.175675675675676,0.4540540540540542,0.1648648648648649,0.5891891891891892,2.0459459459459457,4.3999999999999995,8.78918918918919,3.0027027027027025,3.9918918918918918,1.0,2022-01-13
Harrison Barnes,2.3181818181818183,13.899999999999995,5.227272727272729,1.8636363636363644,0.7000000000000001,0.19999999999999998,1.481818181818182,4.881818181818183,10.98181818181818,1.8181818181818181,2.0636363636363626,1.0,2022-01-13
Hassan Whiteside,0.0,8.4,6.2,0.8999999999999999,0.3,1.4999999999999998,1.3,3.6999999999999997,7.200000000000001,0.9000000000000004,1.9000000000000001,1.0,2022-01-13
Hassani Gravett,2.2086956521739127,5.895652173913043,1.791304347826087,3.1739130434782608,-0.20869565217391303,-0.034782608695652174,2.3130434782608695,1.8956521739130436,5.069565217391304,-0.1391304347826087,-0.17391304347826086,1.0,2022-01-13
Haywood Highsmith,4.142857142857143,12.428571428571429,0.8285714285714285,0.0,0.0,-0.17142857142857143,0.0,4.142857142857143,5.142857142857143,0.0,0.0,1.0,2022-01-13
Herbert Jones,1.2352941176470589,12.935294117647059,5.605882352941176,2.435294117647059,1.611764705882353,1.4235294117647057,1.7352941176470587,5.205882352941178,11.023529411764708,1.1882352941176475,1.4882352941176473,1.0,2022-01-13
Ignas Brazdeikis,-0.17142857142857143,-0.4142857142857143,1.242857142857143,0.9714285714285715,0.29999999999999993,-0.05714285714285715,0.29999999999999993,0.014285714285714235,2.442857142857143,-0.17142857142857143,-0.2285714285714286,1.0,2022-01-13
Immanuel Quickley,2.675,15.09375,2.3000000000000003,5.324999999999999,0.38125,0.31875,2.075,5.03125,10.65,2.35625,2.3375,1.0,2022-01-13
